,TP53,CDH1,PIK3CA,GATA3,MAP3K1,KMT2C,ESR1,CBFB,ARID1A,NCOR1,PTEN,TBX3,MAP2K4,MYCN,CD79A,PPP2R1A,FGFR1,SMARCD1,MGA,IDH1,XIAP,H3F3C,EED
MYCN,0.00536158,0.00536134,8.225407e-,0.00155471,-0.0005378,-0.0020498,-0.0007150,0.00356978,-0.0020559,-0.0015359,-0.0009316,-0.0023181,0.00142603,-0.0031152,-0.0031085,-0.0030792,-0.0031313,-0.0031038,-0.0030967,-0.0031212,-0.0031290,-0.0031174,-0.0031248
CD79A,0.00531427,0.00532695,7.152532e-,0.00152114,-0.0005795,-0.0020229,-0.0007538,0.00357560,-0.0020632,-0.0015359,-0.0008986,-0.0023053,0.00140068,-0.0030820,-0.0030710,-0.0030444,-0.0030961,-0.0030686,-0.0030687,-0.0030860,-0.0030933,-0.0030822,-0.0030882
PPP2R1A,0.00529755,0.00531640,-4.7207992,0.00155828,-0.0005432,-0.0020834,-0.0006920,0.00354697,-0.0020704,-0.0015333,-0.0009970,-0.0023077,0.00143020,-0.0030553,-0.0030515,-0.0030244,-0.0030766,-0.0030487,-0.0030411,-0.0030661,-0.0030734,-0.0030622,-0.0030687
FGFR1,0.00529363,0.00526577,9.894322e-,0.00141222,-0.0006110,-0.0019847,-0.0007650,0.00360684,-0.0020382,-0.0015767,-0.0008522,-0.0022797,0.00132949,-0.0030525,-0.0030305,-0.0030088,-0.0030609,-0.0030335,-0.0030337,-0.0030509,-0.0030572,-0.0030471,-0.0030517
SMARCD1,0.00521062,0.00518370,7.426462e-,0.00154245,-0.0004971,-0.0019767,-0.0006712,0.00352903,-0.0020051,-0.0014922,-0.0008975,-0.0022601,0.00136830,-0.0030497,-0.0030401,-0.0030131,-0.0030644,-0.0030374,-0.0030322,-0.0030543,-0.0030621,-0.0030509,-0.0030575
MGA,0.00521027,0.00524158,1.4305012e,0.00163266,-0.0005073,-0.0020519,-0.0006739,0.00351941,-0.0020664,-0.0014757,-0.0009938,-0.0022929,0.00143056,-0.0030371,-0.0030375,-0.0030087,-0.0030604,-0.0030329,-0.0030307,-0.0030499,-0.0030581,-0.0030461,-0.0030540
IDH1,0.00519651,0.00520351,0.00011264,0.00153780,-0.0006049,-0.0019460,-0.0007935,0.00362489,-0.0020798,-0.0015063,-0.0008385,-0.0022869,0.00132318,-0.0030448,-0.0030276,-0.0030034,-0.0030552,-0.0030286,-0.0030444,-0.0030450,-0.0030519,-0.0030413,-0.0030468
XIAP,0.00520825,0.00525533,6.246372e-,0.00152971,-0.0006333,-0.0019566,-0.0008265,0.00358605,-0.0020854,-0.0014980,-0.0008274,-0.0022887,0.00136449,-0.0030396,-0.0030252,-0.0029992,-0.0030509,-0.0030243,-0.0030421,-0.0030404,-0.0030481,-0.0030375,-0.0030430
H3F3C,0.00519438,0.00528901,5.1377887e,0.00159815,-0.0006600,-0.0019839,-0.0008596,0.00359769,-0.0021382,-0.0014782,-0.0008609,-0.0023129,0.00139437,-0.0030337,-0.0030249,-0.0029969,-0.0030482,-0.0030221,-0.0030480,-0.0030380,-0.0030460,-0.0030352,-0.0030413
EED,0.00522462,0.00525118,-1.7047074,0.00155554,-0.0005405,-0.0020373,-0.0006991,0.00351394,-0.0020495,-0.0015005,-0.0009552,-0.0022807,0.00141651,-0.0030271,-0.0030227,-0.0029952,-0.0030465,-0.0030194,-0.0030163,-0.0030363,-0.0030441,-0.0030331,-0.0030396
